	entities	intent	text	clean_text	bow	len
2949	[{'start': 79, 'end': 90, 'value': '96.2F-96.5F', 'entity': 'temperature'}]	infoPatient	I have consistently for the past 2 months every day have a body temperature of 96.2F-96.5F	['consistently', 'past', '_num_', 'month', 'every', 'day', 'body', 'temperature', '_num_f_num_f']	[(1, 1), (12, 1), (20, 1), (27, 1), (30, 1), (358, 1), (999, 1), (1703, 1), (1704, 1)]	9
2950	[{'start': 12, 'end': 16, 'value': 'girl', 'entity': 'infoPatient_gender'}]	infoPatient	i am a good girl	['good', 'girl']	[(61, 1), (1622, 1)]	2
2951	[{'start': 7, 'end': 12, 'value': 'woman', 'entity': 'infoPatient_gender'}]	infoPatient	I am a woman and I do not believe that my gender constitutes a risk	['woman', 'believe', 'gender', 'constitute', 'risk']	[(300, 1), (990, 1), (1675, 1), (1705, 1), (1706, 1)]	5
2952	[]	infoPatient	I've been struggling with body temperature issues a lot lately and it seems to be increasing	['struggle', 'body', 'temperature', 'issue', 'lot', 'lately', 'seem', 'increase']	[(57, 1), (120, 1), (135, 1), (158, 1), (193, 1), (358, 1), (624, 1), (999, 1)]	8
2953	[]	infoPatient	my heart rate is now between 80% and 90% percent of your maximum	['heart', 'rate', '_num_', '_num_', 'percent', 'maximum']	[(27, 2), (881, 1), (1003, 1), (1017, 1), (1707, 1)]	6
2954	[{'start': 7, 'end': 10, 'value': 'man', 'entity': 'infoPatient_gender'}]	infoPatient	I am a man before being French	['man', 'french']	[(423, 1), (1708, 1)]	2
2955	[{'start': 29, 'end': 34, 'value': '77/44', 'entity': 'infoPatient_blood_pressure'}, {'start': 51, 'end': 56, 'value': '45bpm', 'entity': 'infoPatient_heart_rate'}]	infoPatient	Today when I took it, it was 77/44 with a pulse of 45bpm	['today', 'take', '_num_', 'pulse', '_num_bpm']	[(27, 1), (108, 1), (157, 1), (1620, 1), (1625, 1)]	5
2956	[]	infoPatient	my GP know I have high blood pressure	['gp', 'know', 'high', 'blood', 'pressure']	[(31, 1), (305, 1), (914, 1), (950, 1), (1014, 1)]	5
2957	[{'start': 7, 'end': 10, 'value': 'man', 'entity': 'infoPatient_gender'}]	infoPatient	I am a man, and nothing human is foreign to me	['man', 'nothing', 'human', 'foreign']	[(423, 1), (1091, 1), (1709, 1), (1710, 1)]	4
2958	[]	infoPatient	my blood pressure goes down when i drink alcohol	['blood', 'pressure', 'go', 'drink', 'alcohol']	[(2, 1), (11, 1), (16, 1), (914, 1), (950, 1)]	5
2959	[]	infoPatient	I use my home Blood Pressure Monitor	['use', 'home', 'blood', 'pressure', 'monitor']	[(40, 1), (82, 1), (914, 1), (950, 1), (1643, 1)]	5
2960	[]	infoPatient	My heart rate exceeds the normal resting rate	['heart', 'rate', 'exceed', 'normal', 'rest', 'rate']	[(164, 1), (409, 1), (881, 1), (1003, 2), (1711, 1)]	6
2961	[]	infoPatient	my heart is beating fast	['heart', 'beat', 'fast']	[(690, 1), (881, 1), (1000, 1)]	3
2962	[{'start': 35, 'end': 51, 'value': '119bpm to 127bpm', 'entity': 'infoPatient_heart_rate'}]	infoPatient	I have been having a heart rate at 119bpm to 127bpm in the middle of the night	['heart', 'rate', '_num_bpm', '_num_bpm', 'middle', 'night']	[(22, 1), (429, 1), (881, 1), (1003, 1), (1620, 2)]	6
2963	[{'start': 45, 'end': 57, 'value': '150s to 160s', 'entity': 'infoPatient_blood_pressure'}]	infoPatient	My systolic blood pressure is usually in the 150s to 160s, which is high	['systolic', 'blood', 'pressure', 'usually', '_num_s', '_num_s', 'high']	[(148, 1), (305, 1), (914, 1), (950, 1), (1638, 2), (1640, 1)]	7
2964	[]	infoPatient	my heart rate is 68	['heart', 'rate', '_num_']	[(27, 1), (881, 1), (1003, 1)]	3
2965	[]	infoPatient	My doctor told me to take my temperature twice a day	['doctor', 'tell', 'take', 'temperature', 'twice', 'day']	[(1, 1), (108, 1), (243, 1), (630, 1), (999, 1), (1219, 1)]	6
2966	[{'start': 17, 'end': 23, 'value': '100bpm', 'entity': 'infoPatient_heart_rate'}]	infoPatient	my heart rate is 100bpm	['heart', 'rate', '_num_bpm']	[(881, 1), (1003, 1), (1620, 1)]	3
2967	[{'start': 39, 'end': 49, 'value': '96 degrees', 'entity': 'temperature'}]	infoPatient	my body temperature when I woke up was 96 degrees	['body', 'temperature', 'wake', '_num_', 'degree']	[(27, 1), (358, 1), (394, 1), (999, 1), (1626, 1)]	5
2968	[{'start': 29, 'end': 35, 'value': '96-97°', 'entity': 'temperature'}]	infoPatient	My body temp has been around 96-97°	['body', 'temp', 'around', '_num_', '_num_']	[(27, 2), (111, 1), (358, 1), (1618, 1)]	5
2969	[{'start': 31, 'end': 45, 'value': '88°, 89° , 90°', 'entity': 'temperature'}]	infoPatient	My resting heart rate is about 88°, 89° , 90°	['rest', 'heart', 'rate', '_num_', '_num_', '_num_']	[(27, 3), (409, 1), (881, 1), (1003, 1)]	6
2970	[]	infoPatient	my blood pressure seems low	['blood', 'pressure', 'seem', 'low']	[(135, 1), (188, 1), (914, 1), (950, 1)]	4
2971	[{'start': 22, 'end': 30, 'value': '98-97.6F', 'entity': 'temperature'}]	infoPatient	Yesterday my temp was 98-97.6F so normal for me	['yesterday', 'temp', '_num_', '_num_f', 'normal']	[(27, 1), (164, 1), (283, 1), (1618, 1), (1623, 1)]	5
2972	[]	infoPatient	my body temperature is high	['body', 'temperature', 'high']	[(305, 1), (358, 1), (999, 1)]	3
2973	[{'start': 23, 'end': 26, 'value': '96F', 'entity': 'temperature'}]	infoPatient	My body temperature is 96F	['body', 'temperature', '_num_f']	[(358, 1), (999, 1), (1623, 1)]	3
2974	[{'start': 34, 'end': 40, 'value': 'normal', 'entity': 'temperature'}]	infoPatient	i feel cold but my temperature is normal	['feel', 'cold', 'temperature', 'normal']	[(104, 1), (164, 1), (734, 1), (999, 1)]	4
2975	[]	infoPatient	I can feel my blood pressure in my head	['feel', 'blood', 'pressure', 'head']	[(104, 1), (914, 1), (950, 1), (1031, 1)]	4
2976	[{'start': 31, 'end': 43, 'value': '97.5 degrees', 'entity': 'temperature'}]	infoPatient	My normal temperature is below 97.5 degrees and can be high 96 degrees	['normal', 'temperature', '_num_', 'degree', 'high', '_num_', 'degree']	[(27, 2), (164, 1), (305, 1), (999, 1), (1626, 2)]	7
2977	[]	infoPatient	i have high blood pressure but feel fine	['high', 'blood', 'pressure', 'feel', 'fine']	[(104, 1), (105, 1), (305, 1), (914, 1), (950, 1)]	5
2978	[{'start': 18, 'end': 22, 'value': 'male', 'entity': 'infoPatient_gender'}]	infoPatient	I am 16 years old male	['_num_', 'year', 'old', 'male']	[(14, 1), (27, 1), (29, 1), (302, 1)]	4
2979	[{'start': 49, 'end': 55, 'value': '105/65', 'entity': 'infoPatient_blood_pressure'}]	infoPatient	my blood pressure has remained normal, averaging 105/65	['blood', 'pressure', 'remain', 'normal', 'average', '_num_']	[(6, 1), (27, 1), (164, 1), (539, 1), (914, 1), (950, 1)]	6
2980	[]	infoPatient	How do I know if my blood pressure is healthy?	['know', 'blood', 'pressure', 'healthy']	[(31, 1), (594, 1), (914, 1), (950, 1)]	4
2981	[]	infoPatient	my blood pressure goes up when i go to the doctor	['blood', 'pressure', 'go', 'go', 'doctor']	[(11, 2), (243, 1), (914, 1), (950, 1)]	5
2982	[]	infoPatient	my temperature is up and down	['temperature']	[(999, 1)]	1
2983	[{'start': 42, 'end': 47, 'value': '98.6F', 'entity': 'temperature'}]	infoPatient	I feel miserable when my temperature hits 98.6F	['feel', 'miserable', 'temperature', 'hit', '_num_f']	[(104, 1), (670, 1), (999, 1), (1071, 1), (1623, 1)]	5
2984	[]	infoPatient	I've noticed an increase in my heart rate findings on the watch	['notice', 'increase', 'heart', 'rate', 'finding', 'watch']	[(98, 1), (234, 1), (624, 1), (881, 1), (1003, 1), (1712, 1)]	6
2985	[]	infoPatient	my BP was ideal, but today in the evening it was pretty high	['bp', 'ideal', 'today', 'even', 'pretty', 'high']	[(76, 1), (114, 1), (157, 1), (305, 1), (1650, 1), (1713, 1)]	6
2986	[{'start': 27, 'end': 48, 'value': '~120 beats per minute', 'entity': 'infoPatient_heart_rate'}]	infoPatient	I counted my heart rate at ~120 beats per minute	['count', 'heart', 'rate', '_num_', 'beat', 'per', 'minute']	[(8, 1), (27, 1), (90, 1), (660, 1), (690, 1), (881, 1), (1003, 1)]	7
2987	[]	infoPatient	my high blood pressure went away	['high', 'blood', 'pressure', 'go', 'away']	[(11, 1), (305, 1), (430, 1), (914, 1), (950, 1)]	5
2988	[]	infoPatient	I was a young man at the time	['young', 'man', 'time']	[(92, 1), (229, 1), (423, 1)]	3
2989	[{'start': 36, 'end': 41, 'value': '95.7°', 'entity': 'temperature'}]	infoPatient	Just took my temperature and it was 95.7°	['take', 'temperature', '_num_']	[(27, 1), (108, 1), (999, 1)]	3
2990	[]	infoPatient	my blood pressure goes down during exercise	['blood', 'pressure', 'go', 'exercise']	[(11, 1), (372, 1), (914, 1), (950, 1)]	4
2991	[{'start': 11, 'end': 14, 'value': 'boy', 'entity': 'infoPatient_gender'}]	infoPatient	I am a big boy	['big', 'boy']	[(298, 1), (1633, 1)]	2
2992	[]	infoPatient	I am a 42-year-old man going out every single day to gather garbage	['_num_year', 'old', 'man', 'go', 'every', 'single', 'day', 'gather', 'garbage']	[(1, 1), (11, 1), (20, 1), (29, 1), (423, 1), (1299, 1), (1645, 1), (1714, 1), (1715, 1)]	9
2993	[]	infoPatient	my body heats up after eating	['body', 'heat', 'eat']	[(96, 1), (358, 1), (1656, 1)]	3
2994	[{'start': 74, 'end': 80, 'value': '36.5 C', 'entity': 'temperature'}]	infoPatient	I have been feeling this way for the last 2 days but my body temp is just 36.5 C	['feel', 'way', 'last', '_num_', 'day', 'body', 'temp', '_num_', 'c']	[(1, 1), (27, 2), (101, 1), (104, 1), (358, 1), (794, 1), (1491, 1), (1618, 1)]	9
2995	[]	infoPatient	Today I got my blood test result and the doctor said it was good	['today', 'get', 'blood', 'test', 'result', 'doctor', 'say', 'good']	[(51, 1), (61, 1), (78, 1), (157, 1), (243, 1), (914, 1), (1716, 1), (1717, 1)]	8
2996	[{'start': 18, 'end': 29, 'value': '150/95mm Hg', 'entity': 'infoPatient_blood_pressure'}]	infoPatient	"In fact my BP was 150/95mm Hg, well above the current ""risk"""	['fact', 'bp', '_num_', 'mm', 'hg', 'good', 'current', 'risk']	[(27, 1), (61, 1), (862, 1), (1650, 1), (1706, 1), (1718, 1), (1719, 1), (1720, 1)]	8
2997	[{'start': 37, 'end': 47, 'value': '95 degrees', 'entity': 'temperature'}]	infoPatient	my your body temperature slips below 95 degrees	['body', 'temperature', 'slip', '_num_', 'degree']	[(27, 1), (358, 1), (999, 1), (1626, 1), (1721, 1)]	5
2998	[]	infoPatient	my heart rate exceeds maximum	['heart', 'rate', 'exceed', 'maximum']	[(881, 1), (1003, 1), (1017, 1), (1711, 1)]	4
2999	[{'start': 21, 'end': 24, 'value': 'man', 'entity': 'infoPatient_gender'}]	infoPatient	Now that I am an old man, it is children who inspire me	['old', 'man', 'child', 'inspire']	[(29, 1), (423, 1), (462, 1), (1722, 1)]	4
3000	[{'start': 13, 'end': 16, 'value': 'boy', 'entity': 'infoPatient_gender'}]	infoPatient	I was just a boy	['boy']	[(1633, 1)]	1
3001	[]	infoPatient	I would like to figure out why my systolic blood pressure is high	['would', 'like', 'figure', 'systolic', 'blood', 'pressure', 'high']	[(119, 1), (305, 1), (364, 1), (914, 1), (950, 1), (1640, 1), (1723, 1)]	7
3002	[{'start': 12, 'end': 16, 'value': 'girl', 'entity': 'infoPatient_gender'}]	infoPatient	I am a cute girl, serious, hardworking and quiet	['cute', 'girl', 'serious', 'hardworking', 'quiet']	[(1622, 1), (1724, 1), (1725, 1), (1726, 1), (1727, 1)]	5
3003	[{'start': 19, 'end': 23, 'value': 'male', 'entity': 'infoPatient_gender'}]	infoPatient	I am a 31 year old male suffering from sever Sudden Onset Arthritis	['_num_', 'year', 'old', 'male', 'suffer', 'sever', 'sudden', 'onset', 'arthritis']	[(14, 1), (27, 1), (29, 1), (222, 1), (302, 1), (954, 1), (1728, 1), (1729, 1), (1730, 1)]	9
3004	[{'start': 37, 'end': 40, 'value': '100', 'entity': 'infoPatient_heart_rate'}]	infoPatient	My heart rate in beats per minute is 100	['heart', 'rate', 'beat', 'per', 'minute', '_num_']	[(8, 1), (27, 1), (90, 1), (690, 1), (881, 1), (1003, 1)]	6
3005	[]	smoking	I have shortness of breath to the point that i literally need a deep breathe every couple breathes but its never satisfying.	['shortness', 'breath', 'point', 'literally', 'need', 'deep', 'breathe', 'every', 'couple', 'breathe', 'never', 'satisfy']	[(20, 1), (53, 1), (112, 1), (371, 1), (406, 1), (795, 1), (867, 2), (900, 1), (1147, 1), (1731, 1), (1732, 1)]	12
3006	[{'start': 7, 'end': 18, 'value': '8 years ago', 'entity': 'duration'}]	smoking	I quit 8 years ago and had to stop the cafein as well because of palps or PVCs	['quit', '_num_', 'year', 'ago', 'stop', 'cafein', 'good', 'palps', 'pvcs']	[(14, 1), (25, 1), (27, 1), (61, 1), (200, 1), (276, 1), (1733, 1), (1734, 1), (1735, 1)]	9
3007	[]	smoking	I was smoking from the high school	['smoke', 'high', 'school']	[(305, 1), (306, 1), (324, 1)]	3
3008	[{'start': 44, 'end': 50, 'value': '30 cig', 'entity': 'dosing'}, {'start': 51, 'end': 56, 'value': 'a day', 'entity': 'period'}]	smoking	I'm 30 been smoking since i was 17 everyday 30 cig a day have had massive addiction problems in past	['_num_', 'smoke', 'since', '_num_', 'everyday', '_num_', 'cig', 'day', 'massive', 'addiction', 'problem', 'past']	[(1, 1), (15, 1), (27, 3), (30, 1), (79, 1), (80, 1), (324, 1), (330, 1), (1736, 1), (1737, 1)]	12
3009	[{'start': 18, 'end': 31, 'value': 'when I was 18', 'entity': 'duration'}]	smoking	I started smoking when I was 18	['start', 'smoke', '_num_']	[(27, 1), (56, 1), (324, 1)]	3
3010	[{'start': 13, 'end': 26, 'value': 'about 8 years', 'entity': 'period'}]	smoking	I smoked for about 8 years and gave up in 2004 using an NHS support group	['smoke', '_num_', 'year', 'give', '_num_', 'use', 'nhs', 'support', 'group']	[(14, 1), (27, 2), (82, 1), (244, 1), (324, 1), (1125, 1), (1738, 1), (1739, 1)]	9
3011	[]	smoking	How long have you been smoking	['long', 'smoke']	[(255, 1), (324, 1)]	2
3012	[]	smoking	I'm 58 and when I was a kid everyone smoked	['_num_', 'kid', 'everyone', 'smoke']	[(27, 1), (324, 1), (1740, 1), (1741, 1)]	4
3013	[{'start': 44, 'end': 52, 'value': '5 smokes', 'entity': 'dosing'}, {'start': 53, 'end': 58, 'value': 'a day', 'entity': 'period'}]	smoking	I did do an asthma test at 14 when I smoked 5 smokes a day and they said I had mild asthma	['asthma', 'test', '_num_', 'smoke', '_num_', 'smoke', 'day', 'say', 'mild', 'asthma']	[(1, 1), (27, 2), (78, 1), (324, 2), (401, 1), (1717, 1), (1742, 2)]	10
3014	[]	smoking	I tried many different methods and only switching to vaping helped me	['try', 'many', 'different', 'method', 'switch', 'vaping', 'help']	[(26, 1), (69, 1), (83, 1), (316, 1), (448, 1), (1743, 1), (1744, 1)]	7
3015	[]	smoking	I don’t do drugs or smoke weed	['drug', 'smoke', 'wee']	[(303, 1), (324, 1), (689, 1)]	3
3016	[{'start': 8, 'end': 20, 'value': 'about a pack', 'entity': 'dosing'}, {'start': 37, 'end': 42, 'value': 'a day', 'entity': 'period'}]	smoking	Smoking about a pack, sometimes more a day	['smoking', 'pack', 'sometimes', 'much', 'day']	[(1, 1), (23, 1), (34, 1), (136, 1), (1745, 1)]	5
3017	[{'start': 15, 'end': 27, 'value': 'for 25 years', 'entity': 'period'}]	smoking	I was a smoker for 25 years since I gave up I have had no appetite a really bad sore throat and a mouth ulcer	['smoker', '_num_', 'year', 'since', 'give', 'appetite', 'really', 'bad', 'sore', 'throat', 'mouth', 'ulcer']	[(14, 1), (27, 1), (80, 1), (134, 1), (191, 1), (244, 1), (326, 1), (617, 1), (751, 1), (871, 1), (912, 1), (970, 1)]	12
3018	[{'start': 60, 'end': 71, 'value': 'a month ago', 'entity': 'duration'}]	smoking	After quitting smoking 3 years ago I stupidly started again a month ago	['quit', 'smoke', '_num_', 'year', 'ago', 'stupidly', 'start', 'month', 'ago']	[(12, 1), (14, 1), (27, 1), (56, 1), (200, 2), (276, 1), (282, 1), (324, 1)]	9
3019	[]	smoking	I’m on day 4 of not smoking	['day', '_num_', 'smoke']	[(1, 1), (27, 1), (324, 1)]	3
3020	[{'start': 0, 'end': 7, 'value': '50 year', 'entity': 'duration'}]	smoking	50 year smoker just smoked last cigarette	['_num_', 'year', 'smoker', 'smoke', 'last', 'cigarette']	[(14, 1), (27, 1), (101, 1), (324, 1), (326, 1), (329, 1)]	6
3021	[{'start': 18, 'end': 25, 'value': '7 years', 'entity': 'duration'}]	smoking	I have smoked for 7 years now	['smoke', '_num_', 'year']	[(14, 1), (27, 1), (324, 1)]	3
3022	[{'start': 49, 'end': 64, 'value': 'about two years', 'entity': 'duration'}]	smoking	Im 18 years old and have been smoking hookah for about two years	['_num_', 'year', 'old', 'smoke', 'hookah', 'two', 'year']	[(14, 2), (27, 1), (29, 1), (106, 1), (324, 1), (1746, 1)]	7
3023	[]	smoking	I am 22 years old and a week ago i decided to quit cold turkey	['_num_', 'year', 'old', 'week', 'ago', 'decide', 'quit', 'cold', 'turkey']	[(4, 1), (14, 1), (27, 1), (29, 1), (200, 1), (276, 1), (586, 1), (734, 1), (778, 1)]	9
3024	[]	smoking	I have been taking champix for 4 days now and the results are great so far	['take', 'champix', '_num_', 'day', 'result', 'great', 'far']	[(1, 1), (27, 1), (108, 1), (296, 1), (1065, 1), (1716, 1), (1747, 1)]	7
3025	[]	smoking	Keeping busy is a great way to stay smokefree on your quit day	['keeping', 'busy', 'great', 'way', 'stay', 'smokefree', 'quit', 'day']	[(1, 1), (276, 1), (443, 1), (794, 1), (1065, 1), (1350, 1), (1748, 1), (1749, 1)]	8
3026	[{'start': 18, 'end': 35, 'value': 'a couple of times', 'entity': 'dosing'}, {'start': 36, 'end': 41, 'value': 'a day', 'entity': 'period'}]	smoking	I started smoking a couple of times a day	['start', 'smoke', 'couple', 'time', 'day']	[(1, 1), (56, 1), (92, 1), (324, 1), (795, 1)]	5
3027	[]	smoking	How has your no smoke journey been doing	['smoke', 'journey']	[(324, 1), (1750, 1)]	2
3028	[{'start': 18, 'end': 24, 'value': 'a pack', 'entity': 'dosing'}, {'start': 25, 'end': 30, 'value': 'a day', 'entity': 'period'}]	smoking	Now I smoke about a pack a day	['smoke', 'pack', 'day']	[(1, 1), (23, 1), (324, 1)]	3
3029	[]	smoking	I smoked my last cigarette Christmas Day 10 past 9 in 2009	['smoke', 'last', 'cigarette', 'christmas', 'day', '_num_', 'past', '_num_', '_num_']	[(1, 1), (27, 3), (30, 1), (101, 1), (324, 1), (329, 1), (1018, 1)]	9
3030	[{'start': 20, 'end': 31, 'value': 'for 4months', 'entity': 'duration'}]	smoking	I have been smoking for 4months and My age is 23 old	['smoke', '_num_months', 'age', '_num_', 'old']	[(27, 1), (29, 1), (121, 1), (324, 1), (1751, 1)]	5
3031	[]	smoking	"When I stopped, I switched to the ""E"" cigarettes, but have recently switched to the vapes"	['stop', 'switch', 'e', 'cigarette', 'recently', 'switch', 'vapes']	[(25, 1), (55, 1), (329, 1), (788, 1), (1743, 2), (1752, 1)]	7
3032	[{'start': 36, 'end': 48, 'value': 'for 54 years', 'entity': 'duration'}]	smoking	I started at 8 years old and smoked for 54 years	['start', '_num_', 'year', 'old', 'smoke', '_num_', 'year']	[(14, 2), (27, 2), (29, 1), (56, 1), (324, 1)]	7
3033	[{'start': 12, 'end': 24, 'value': 'for 38 years', 'entity': 'duration'}]	smoking	I’ve smoked for 38 years	['smoke', '_num_', 'year']	[(14, 1), (27, 1), (324, 1)]	3
3034	[]	smoking	I'm scared I have some type of oral cancer from smoking	['scare', 'type', 'oral', 'cancer', 'smoke']	[(194, 1), (324, 1), (503, 1), (1658, 1), (1753, 1)]	5
3035	[{'start': 55, 'end': 69, 'value': '7-8 months ago', 'entity': 'duration'}]	smoking	My husband and his friend started smoking cigar nearly 7-8 months ago	['husband', 'friend', 'start', 'smoke', 'cigar', 'nearly', '_num_', '_num_', 'month', 'ago']	[(12, 1), (27, 2), (56, 1), (190, 1), (200, 1), (262, 1), (314, 1), (324, 1), (790, 1)]	10
3036	[{'start': 24, 'end': 43, 'value': '50 years of smoking', 'entity': 'duration'}]	smoking	I stopped smoking after 50 years of smoking	['stop', 'smoke', '_num_', 'year', 'smoke']	[(14, 1), (25, 1), (27, 1), (324, 2)]	5
3037	[{'start': 18, 'end': 33, 'value': 'for a few years', 'entity': 'duration'}]	smoking	I've been smoking for a few years and it effect me a little	['smoke', 'year', 'effect', 'little']	[(3, 1), (14, 1), (324, 1), (1608, 1)]	4
3038	[{'start': 18, 'end': 29, 'value': '5 weeks ago', 'entity': 'duration'}]	smoking	I gave up smoking 5 weeks ago and I'm using the vape cigs	['give', 'smoke', '_num_', 'week', 'ago', 'use', 'vape', 'cigs']	[(4, 1), (27, 1), (82, 1), (200, 1), (244, 1), (324, 1), (327, 1), (1754, 1)]	8
3039	[{'start': 44, 'end': 62, 'value': 'about 5 months ago', 'entity': 'duration'}]	smoking	I used to be a long-time heavy smoker until about 5 months ago, when I decided to quit cold turkey	['use', 'long', 'time', 'heavy', 'smoker', '_num_', 'month', 'ago', 'decide', 'quit', 'cold', 'turkey']	[(12, 1), (27, 1), (68, 1), (82, 1), (92, 1), (200, 1), (255, 1), (276, 1), (326, 1), (586, 1), (734, 1), (778, 1)]	12
3040	[{'start': 18, 'end': 32, 'value': 'since I was 12', 'entity': 'duration'}]	smoking	I'm 24 and smoked since I was 12	['_num_', 'smoke', 'since', '_num_']	[(27, 2), (80, 1), (324, 1)]	4
3041	[{'start': 12, 'end': 23, 'value': 'for 38years', 'entity': 'duration'}]	smoking	I’ve smoked for 38years I’m ashamed to say	['smoke', '_num_years', 'ashamed', 'say']	[(78, 1), (177, 1), (324, 1), (346, 1)]	4
3042	[]	smoking	3rd time quitting using champix	['_num_rd', 'time', 'quit', 'use', 'champix']	[(72, 1), (82, 1), (92, 1), (276, 1), (1747, 1)]	5
3043	[{'start': 29, 'end': 49, 'value': 'since I was about 16', 'entity': 'duration'}]	smoking	I'm 22 and have been smoking since I was about 16	['_num_', 'smoke', 'since', '_num_']	[(27, 2), (80, 1), (324, 1)]	4
3044	[]	smoking	can the lungs heal themselfs when you quit smoking?	['lung', 'heal', 'themselfs', 'quit', 'smoke']	[(276, 1), (324, 1), (962, 1), (1755, 1), (1756, 1)]	5
3045	[]	smoking	I have been using vapour cig to stop smoking	['use', 'vapour', 'cig', 'stop', 'smoke']	[(25, 1), (82, 1), (324, 1), (1736, 1), (1757, 1)]	5
3046	[{'start': 25, 'end': 37, 'value': 'for 60 years', 'entity': 'duration'}]	smoking	My dad has been a smoker for 60 years and decided to just give up	['dad', 'smoker', '_num_', 'year', 'decide', 'give']	[(14, 1), (27, 1), (244, 1), (326, 1), (586, 1), (1758, 1)]	6
3047	[{'start': 32, 'end': 52, 'value': 'for the past 4 years', 'entity': 'duration'}]	smoking	Have been a pretty heavy smoker for the past 4 years	['pretty', 'heavy', 'smoker', 'past', '_num_', 'year']	[(14, 1), (27, 1), (30, 1), (68, 1), (114, 1), (326, 1)]	6
3048	[{'start': 21, 'end': 34, 'value': 'for 4,5 years', 'entity': 'duration'}]	smoking	I was a heavy smoker for 4,5 years	['heavy', 'smoker', '_num_', 'year']	[(14, 1), (27, 1), (68, 1), (326, 1)]	4
3049	[]	smoking	I like the occasional cigarette but I reckon I can give it up	['like', 'occasional', 'cigarette', 'reckon', 'give']	[(244, 1), (329, 1), (364, 1), (1759, 1), (1760, 1)]	5
3050	[{'start': 54, 'end': 63, 'value': 'for 26yrs', 'entity': 'duration'}]	smoking	I am 36-45, female and have been a smoker (12-16/day) for 26yrs	['_num_', '_num_', 'female', 'smoker', '_num_', '_num_day', '_num_yrs']	[(27, 3), (326, 1), (1676, 1), (1761, 1), (1762, 1)]	7
3051	[]	smoking	I feel like I've got every side effect from taking Champix you could possible have	['feel', 'like', 'get', 'every', 'side', 'effect', 'take', 'champix', 'possible']	[(20, 1), (51, 1), (104, 1), (108, 1), (364, 1), (919, 1), (1414, 1), (1608, 1), (1747, 1)]	9
3052	[]	smoking	I quit smoking 6 weeks ago and since I quit all I've had is severe anxiety and panic attacks	['quit', 'smoke', '_num_', 'week', 'ago', 'since', 'quit', 'severe', 'anxiety', 'panic', 'attack']	[(4, 1), (27, 1), (80, 1), (200, 1), (276, 2), (324, 1), (381, 1), (464, 1), (556, 1), (895, 1)]	11
3053	[{'start': 19, 'end': 33, 'value': 'since i was 13', 'entity': 'duration'}]	smoking	I am 21 and smoked since i was 13, smoked weed and i mean a lot	['_num_', 'smoke', 'since', '_num_', 'smoke', 'wee', 'mean', 'lot']	[(27, 2), (80, 1), (158, 1), (184, 1), (324, 2), (689, 1)]	8
3054	[]	smoking	I stopped smoking 4 years ago and ended up on an E-Cig	['stop', 'smoke', '_num_', 'year', 'ago', 'end', 'e', 'cig']	[(14, 1), (17, 1), (25, 1), (27, 1), (200, 1), (324, 1), (788, 1), (1736, 1)]	8
3055	[]	smoking	I've been exposed to second-hand smoke for about 3-4 hours in total	['expose', '_num_', 'hand', 'smoke', '_num_', '_num_', 'hour', 'total']	[(27, 3), (324, 1), (348, 1), (362, 1), (419, 1), (1763, 1)]	8
3056	[{'start': 43, 'end': 55, 'value': 'for 20 years', 'entity': 'duration'}]	smoking	I have recently quit after massive smoking for 20 years	['recently', 'quit', 'massive', 'smoke', '_num_', 'year']	[(14, 1), (27, 1), (55, 1), (276, 1), (324, 1), (1737, 1)]	6
3057	[]	smoking	When i started everyone smoked everywhere	['start', 'everyone', 'smoke', 'everywhere']	[(56, 1), (324, 1), (1740, 1), (1764, 1)]	4
3058	[]	smoking	But sometimes a feel anxious and depressed that I want to smoke a real cigarette at once	['sometimes', 'feel', 'anxious', 'depress', 'want', 'smoke', 'real', 'cigarette']	[(59, 1), (87, 1), (104, 1), (136, 1), (179, 1), (218, 1), (324, 1), (329, 1)]	8
3059	[{'start': 18, 'end': 35, 'value': 'for over 40 years', 'entity': 'duration'}]	smoking	I've been smoking for over 40 years, I desperately want to give up smoking	['smoke', '_num_', 'year', 'desperately', 'want', 'give', 'smoke']	[(14, 1), (27, 1), (59, 1), (244, 1), (324, 2), (1765, 1)]	7
3060	[]	smoking	I am just quit smoking and affraid about its side effects	['quit', 'smoke', 'affraid', 'side', 'effect']	[(276, 1), (324, 1), (919, 1), (1608, 1), (1766, 1)]	5
3061	[{'start': 53, 'end': 59, 'value': '20 cig', 'entity': 'dosing'}, {'start': 60, 'end': 65, 'value': 'a day', 'entity': 'period'}]	smoking	4 weeks on im still buying cigarettes and back up to 20 cig a day	['_num_', 'week', 'still', 'buy', 'cigarette', 'back', '_num_', 'cig', 'day']	[(1, 1), (4, 1), (19, 1), (27, 2), (38, 1), (329, 1), (497, 1), (1736, 1)]	9
3062	[]	smoking	I need your help to quit smoking	['need', 'help', 'quit', 'smoke']	[(53, 1), (69, 1), (276, 1), (324, 1)]	4
3063	[]	incomprehension	Would you roll that by me again, please?	['would', 'roll', 'please']	[(119, 1), (978, 1), (1767, 1)]	3
3064	[]	incomprehension	I'm not clear on whether or not you do what is known	['clear', 'whether', 'know']	[(31, 1), (976, 1), (1768, 1)]	3
3065	[]	incomprehension	it is still relatively unclear	['still', 'relatively', 'unclear']	[(497, 1), (1769, 1), (1770, 1)]	3
